postcode,feature_id,feature_type,feature_subtype,name_label
3880,862883,emergency facility,neighbourhood safer place,Raymond Island (Community Centre Hall) NSP
3880,985503,emergency facility,coast guard,Paynesville Coast Guard Brigade
3880,649657,community venue,hall,Paynesville Rsl Hall
3880,968796,landmark,monument,Paynesville Cenotaph
3880,1021433,recreational resource,club house,Gippsland Lakes Yacht Club
3880,984771,care facility,child care,Paynesville Kindergarten
3880,991316,care facility,aged care,Opal Paynesville
3267,179188,community venue,hall,Scotts Creek Public Hall
3267,179602,admin facility,post office,
3267,843061,communication service,exchange,Scotts Creek Telephone Exchange
3267,655988,emergency facility,fire station,Scotts Ck-Cowleys Ck. Fire Station CFA
3757,967886,recreational resource,playground,
3757,987613,recreational resource,playground,
3757,987920,recreational resource,playground,
3757,903303,community venue,community centre,Whittlesea Community Activity Centre
3757,993334,care facility,child care,Whittlesea Child Care Centre
3757,1019627,landmark,monument,
3757,654334,sign,emergency marker,KNP200
3757,654335,sign,emergency marker,KNP201
3757,654337,sign,emergency marker,KNP501
3757,654339,sign,emergency marker,KNP503
3757,987592,recreational resource,playground,
3757,954,landmark,monument,Whittlesea War Memorial
3757,612433,education centre,secondary school,Whittlesea Secondary College
3757,716340,emergency facility,neighbourhood safer place,Whittlesea (A.F. Walker Reserve) NSP
3757,988958,emergency facility,fire station,Whittlesea Satellite Fire Station (Eden Park) CFA
3757,989397,emergency facility,neighbourhood safer place,Kinglake West (Recreation Reserve) NSP
3757,656212,emergency facility,fire station,Whittlesea Fire Station CFA
3757,994619,care facility,child care,World4kids - Whittlesea Primary School Oshc
3757,1019626,landmark,monument,2009 Bushfire Memorial
3757,985018,care facility,aged care,Sunlight Residential Aged Care
3757,1023656,care facility,child care,Whittlesea Childcare Centre
3757,840467,care facility,child care,Bright Stars Early Learning Centre
3757,987572,recreational resource,playground,
3757,987696,recreational resource,playground,
3757,1004472,cultural centre,library,Whittlesea Library
3757,654332,sign,emergency marker,KNP100
3757,654347,sign,emergency marker,KNP512
3757,1018688,recreational resource,club house,
3757,1023563,care facility,child care,Victorian Ymca Community Programming Pty Ltd At Kinglake West School Holiday Program
3757,633002,community venue,hall,Kinglake Memorial Reserve Hall
3757,655613,emergency facility,fire station,Kinglake West Fire Station CFA
3757,993554,care facility,child care,Kinglake Ranges Childrens Centre
3757,842712,communication service,exchange,Kinglake West Telephone Exchange
3757,654336,sign,emergency marker,KNP500
3757,903304,community venue,neighbourhood house,Whittlesea Community House
3757,1031534,landmark,tower,
3757,996424,emergency facility,emergency coordination centre,Whittlesea Local Command Facility
3757,903305,admin facility,municipal office,Whittlesea Depot
3757,839586,admin facility,tourist information centre,Whittlesea Courthouse Visitor Information Centre
3757,843242,communication service,exchange,Whittlesea Telephone Exchange
3757,547376,place of worship,church,Christ Church
3757,651096,sport facility,aquatic centre,Whittlesea Swim Centre
3757,565,landmark,lookout,Lady Stonehavens Lookout
3757,839298,emergency facility,ambulance station,Whittlesea Ambulance Station
3757,654338,sign,emergency marker,KNP502
3757,994017,care facility,child care,St Marys Oshclub Whittlesea
3757,1009923,care facility,child care,Hazel Glen Kindergarten-Laurel Street
3757,612431,education centre,primary school,Whittlesea Primary School
3757,991596,care facility,aged care,Whittlesea Lodge
3757,612428,emergency facility,police station,Whittlesea Police Station
3757,841897,care facility,child care,Whittlesea Preschool
3757,993274,care facility,child care,Middle Kinglake Primary School Combined Oshc
3757,994462,care facility,child care,Kinglake West Combined Outside School Hours Care
3757,632336,education centre,primary school,St Marys School
3757,44534,storage facility,silo,
3757,61393,landmark,tower,
3757,636718,landmark,tower,
3757,636717,excavation site,quarry,
3757,140647,education centre,primary school,Middle Kinglake Primary School
3757,906,landmark,lookout,
3757,63542,landmark,tower,
3757,903306,health facility,maternal/child health centre,Whittlesea Mch
3757,1003907,place of worship,church,Whittlesea Presbyterian Church
3757,765714,dumping ground,transfer station,Kinglake Resource Recovery Centre
3757,180287,place of worship,church,
3757,139528,education centre,primary school,Kinglake West Primary School
3757,649436,community venue,hall,Kinglake West Mechanics Institute
3718,1636,control point,survey monument,
3718,625670,recreational resource,picnic site,Sheepwash Lagoon Picnic Area
3718,842855,communication service,exchange,Molesworth Telephone Exchange
3718,1131187,place of worship,church,
3718,649568,community venue,hall,Molesworth Public Hall
3718,625671,recreational resource,picnic site,Sloan Reserve Picnic Area
3718,1014326,sign,emergency marker,GVR062
3718,1014654,sign,emergency marker,GVR063
3718,1014656,sign,emergency marker,GVR065
3718,1014487,sign,emergency marker,GVR059
3718,1014726,sign,emergency marker,GVR064
3718,1267,control point,survey monument,
3718,44349,excavation site,adit,
3718,1014576,sign,emergency marker,GVR061
3718,1014652,sign,emergency marker,GVR058
3718,1014653,sign,emergency marker,GVR060
3718,1014657,sign,emergency marker,GVR067
3718,655771,emergency facility,fire station,Molesworth Fire Station CFA
3887,49679,landmark,tower,
3887,649621,community venue,hall,Nowa Nowa Hall
3887,177464,community venue,hall,Wairewa Hall
3887,967623,industrial facility,mill/timber operations,
3887,967624,industrial facility,mill/timber operations,
3887,18735,landmark,tower,Nowa Nowa South
3887,842941,communication service,exchange,Nowa Nowa Telephone Exchange
3887,911107,communication service,exchange,
3887,179407,admin facility,post office,
3887,694091,communication service,broadcast television facility,TV ABLV55
3887,969643,admin facility,office,Nowa Nowa (Dse)
3887,693650,communication service,broadcast television facility,DTV ABLV51
3887,636991,emergency facility,fire lookout,Mt Nowa Nowa
3887,993018,care facility,child care,Save The Children Kindergarten - Nowa Nowa
3887,5426,education centre,primary school,Nowa Nowa Primary School
3887,656155,emergency facility,fire station,Wairewa Fire Station CFA
3717,1280,control point,survey monument,
3717,18566,excavation site,mine,Higginbotham Mine
3717,404153,community venue,hall,Murrindindi Public Hall
3717,649591,place of worship,church,Murrindindi Anglican Church
3717,910,landmark,lookout,
3717,929,landmark,lookout,
3717,59568,landmark,tower,
3717,885,place,historic site,Trafford Historic Mill Site
3717,1014415,sign,emergency marker,GVR066
3717,1014886,sign,emergency marker,SIS100
3717,1014490,sign,emergency marker,SIS201
3717,764283,community venue,neighbourhood house,Yea Community House
3717,180029,admin facility,post office,
3717,702580,cultural centre,library,Yea Library
3717,843298,communication service,exchange,Yea Telephone Exchange
3717,1031479,landmark,monument,Yea Shrine
3717,178211,place of worship,church,
3717,178212,place of worship,church,
3717,694323,communication service,broadcast television facility,TV SBS30
3717,693637,communication service,broadcast television facility,DTV ABGV34
3717,694157,communication service,broadcast television facility,TV AMV45
3717,694393,communication service,broadcast television facility,TV VTV39
3717,694232,communication service,broadcast television facility,TV GLV42
3717,693769,communication service,broadcast television facility,DTV SBS37
3717,63721,landmark,tower,Yea
3717,694073,communication service,broadcast television facility,TV ABGV33
3717,1630,control point,survey monument,
3717,142517,care facility,aged care,Rosebank Nursing Home
3717,1014727,sign,emergency marker,GVR069
3717,764657,emergency facility,fire station,Limestone Fire Station CFA
3717,655816,emergency facility,fire station,Murrindindi & Woodbourne Fire Station CFA
3717,842134,emergency facility,neighbourhood safer place,Yea (Skate Park) NSP
3717,1023739,care facility,child care,Yea Childrens Centre Take A Break Child Care
3717,967888,recreational resource,playground,
3717,839588,admin facility,tourist information centre,Yea Visitor Information Centre
3717,178988,community venue,hall,Yea Shire Hall
3717,1031504,landmark,monument,Hume And Hovell Monument
3717,1003911,place of worship,church,Yea Presbyterian Church
3717,58745,excavation site,adit,
3717,988146,recreational resource,picnic site,Stanley Homestead Picnic Area
3717,62658,landmark,tower,
3717,842477,communication service,exchange,Devlin Bridge Telephone Exchange
3717,649331,community venue,hall,Glenburn Hall
3717,992824,excavation site,quarry,
3717,636973,emergency facility,fire lookout,Mt Despair
3717,1014881,sign,emergency marker,GVR068
3717,1014882,sign,emergency marker,GVR074
3717,1014332,sign,emergency marker,GVR070
3717,1014333,sign,emergency marker,GVR071
3717,1014334,sign,emergency marker,GVR073
3717,142516,care facility,aged care,Rosebank Hostel
3717,612980,hospital,general hospital,Yea And District Memorial Hospital
3717,655454,emergency facility,fire station,Glenburn Fire Station CFA
3717,612982,education centre,primary school,Yea Primary School
3717,612978,emergency facility,ambulance station,Yea Ambulance Station
3717,1023997,care facility,child care,Victorian Ymca Community Programming Pty Ltd At Yea School Holiday Program
3717,626429,education centre,primary school,Sacred Heart School
3717,653871,landmark,tower,
3717,18350,education centre,secondary school,Yea High School
3717,842554,communication service,exchange,Flowerdale Telephone Exchange
3717,59774,landmark,tower,
3717,137787,education centre,primary school,Flowerdale Primary School
3717,967656,emergency facility,neighbourhood safer place,Flowerdale (Hall) NSP
3717,694014,communication service,broadcast radio facility,FM 3SUN 93.7
3717,62657,landmark,tower,
3717,652572,community venue,hall,
3717,634057,community venue,hall,Flowerdale Community Hall
3717,1031536,landmark,tower,
3717,765866,dumping ground,transfer station,Yea Resource Recovery Centre
3717,649391,community venue,hall,Homewood Hall
3717,651110,sport facility,aquatic centre,Yea Swimming Pool
3717,1014311,sign,emergency marker,THS200
3717,994039,care facility,child care,Yea And District Childrens Centre
3717,1014414,sign,emergency marker,GVR085
3717,1014802,sign,emergency marker,GVR081
3717,1014803,sign,emergency marker,GVR079
3717,1014636,sign,emergency marker,THS201
3717,1014780,sign,emergency marker,THS100
3717,1014880,sign,emergency marker,GVR076
3717,1014577,sign,emergency marker,GVR086
3717,1014327,sign,emergency marker,GVR084
3717,1014328,sign,emergency marker,GVR077
3717,1014329,sign,emergency marker,GVR078
3717,1014330,sign,emergency marker,GVR080
3717,1014331,sign,emergency marker,GVR075
3717,1014335,sign,emergency marker,GVR072
3717,1014655,sign,emergency marker,GVR083
3717,1014488,sign,emergency marker,GVR082
3717,694024,communication service,broadcast radio facility,FM 3UGE 88.9
3717,987508,education centre,secondary school,Yea High School
3717,1031533,landmark,tower,
3717,612977,emergency facility,police station,Yea Police Station
3717,655544,emergency facility,fire station,Homewood Fire Station CFA
3717,656290,emergency facility,fire station,Yea Fire Station CFA
3717,996497,emergency facility,emergency coordination centre,Yea Local Command Facility
3704,179258,admin facility,post office,Koetong Post Office
3704,842715,communication service,exchange,Koetong Telephone Exchange
3944,177538,admin facility,post office,
3944,634031,emergency facility,lifesaving club,Portsea SLSC
3944,983384,recreational resource,playground,
3944,654718,sign,emergency marker,PNP402
3944,654719,sign,emergency marker,PNP403
3944,654519,sign,emergency marker,MOR119
3944,654722,sign,emergency marker,PNP406
3944,654723,sign,emergency marker,PNP501
3944,654725,sign,emergency marker,PNP503
3944,654726,sign,emergency marker,PNP504
3944,654716,sign,emergency marker,PNP102
3944,654574,sign,emergency marker,MOR545
3944,654605,sign,emergency marker,MOR801
3944,654575,sign,emergency marker,MOR546
3944,654577,sign,emergency marker,MOR548
3944,654578,sign,emergency marker,MOR549
3944,654049,sign,emergency marker,BAY801
3944,1019682,landmark,monument,Harold Holt Monument
3944,764594,emergency facility,neighbourhood safer place,Portsea (We Newton Reserve) NSP
3944,983386,recreational resource,playground,
3944,654517,sign,emergency marker,MOR117
3944,654518,sign,emergency marker,MOR118
3944,654720,sign,emergency marker,PNP404
3944,654721,sign,emergency marker,PNP405
3944,654520,sign,emergency marker,MOR120
3944,654521,sign,emergency marker,MOR121
3944,654724,sign,emergency marker,PNP502
3944,654715,sign,emergency marker,PNP101
3944,654717,sign,emergency marker,PNP401
3944,654576,sign,emergency marker,MOR547
3944,1019700,landmark,monument,Heatons Monument
3520,177488,admin facility,post office,
3520,693378,building,ruin,
3520,693379,building,ruin,
3520,693382,building,ruin,
3520,693383,building,ruin,
3520,838593,storage facility,silo,
3520,838601,storage facility,silo,
3520,838603,storage facility,silo,
3520,842725,communication service,exchange,Korong Vale Telephone Exchange
3520,1008907,landmark,monument,Korong Vale War Memorial
3520,177432,community venue,hall,Korong Vale Mechanics Institute
3520,985572,emergency facility,fire station,Korong Vale Fire Station CFA
3160,18384,landmark,lookout,Bernie Larsen Reserve
3160,840167,care facility,child care,Belgrave Preschool
3160,993019,care facility,child care,St Thomas More Oshc - Extend
3160,982519,place of worship,church,St Martins Anglican Church
3160,982561,recreational resource,playground,
3160,1009929,care facility,child care,Camp Australia - Belgrave Heights Christian School Oshc
3160,633133,community venue,hall,
3160,140429,education centre,secondary school,Mater Christi College
3160,982527,place of worship,church,St Thomas More Catholic Church
3160,650843,cultural centre,library,Belgrave Public Library
3160,842277,communication service,exchange,Belgrave Telephone Exchange
3160,625568,education centre,primary school,Tecoma Primary School
3160,841033,care facility,child care,Len Jeffrey Memorial Kindergarten
3160,982560,recreational resource,playground,
3160,998540,care facility,child care,Goodstart Early Learning Belgrave Heights
3160,135331,emergency facility,police station,Belgrave Police Station
3160,135336,education centre,primary school,Belgrave South Primary School
3160,1022146,education centre,primary school,Harkaway Hills College
3160,840168,care facility,child care,Belgrave South Community House
3160,993728,care facility,child care,Belgrave Heights Christian School Early Learning Centre
3160,982529,place of worship,church,Tecoma Uniting Church
3160,632402,education centre,primary school,St Thomas Mores School
3160,982469,health facility,maternal/child health centre,Belgrave Maternal And Child Health Centre
3160,982468,place of worship,church,Belgrave Heights Uniting Church
3160,693238,emergency facility,neighbourhood safer place,Belgrave (Recreation Reserve) NSP
3160,841726,care facility,child care,Tecoma Kindergarten
3160,1005158,care facility,child care,Melbourne School Holiday Club
3160,982535,health facility,maternal/child health centre,
3160,982467,place of worship,church,Belgrave Heights Unification Church
3160,1018728,landmark,monument,Belgrave War Memorial
3160,994434,care facility,child care,Belgrave South Oosh
3160,1020344,emergency facility,neighbourhood safer place,Belgrave (Alexanders Car Park (Rear Of Shopping Centre)) NSP
3160,655151,emergency facility,fire station,Belgrave Fire Station CFA
3160,135335,education centre,primary/secondary school,Belgrave Heights Christian School
3160,996474,emergency facility,emergency coordination centre,Belgrave Local Command Facility
3160,633052,community venue,hall,Progress Hall
3160,970485,residential building,retirement village,Unknown Rutherford Road
3160,650898,sport facility,aquatic centre,Belgrave Swimming Pool
3160,1002179,landmark,tourist attraction,Trees Adventure
3160,1002180,cultural centre,art gallery,Limerence
3160,135332,emergency facility,ambulance station,Belgrave Ambulance Station
3160,1008556,commercial facility,entertainment centre,Cameo Cinemas Belgrave
3160,982470,community venue,community centre,Belgrave South Community House
3160,994466,care facility,child care,Tecoma Primary School Oshc
3160,655152,emergency facility,fire station,Belgrave Heights & South Fire Station CFA
3160,1005133,care facility,child care,After The Bell Aus- Mater Christi College
3160,970486,residential building,retirement village,Unknown Sophia Grove
3796,982500,community venue,community centre,Morrison House
3796,993758,care facility,child care,Birmingham Primary School Oshc
3796,654855,sign,emergency marker,SYR202
3796,654856,sign,emergency marker,SYR203
3796,1008611,education centre,special school,Yarra Valley Community School
3796,840366,care facility,child care,Childrens House Of Early Learning
3796,970109,residential building,retirement village,Evelyn Ridge
3796,994729,care facility,child care,Mount Evelyn Christian School Kindergarten
3796,654857,sign,emergency marker,SYR204
3796,654858,sign,emergency marker,SYR205
3796,654859,sign,emergency marker,SYR206
3796,654861,sign,emergency marker,SYR208
3796,654862,sign,emergency marker,SYR209
3796,968458,sign,emergency marker,SYR116
3796,968459,sign,emergency marker,SYR117
3796,135586,education centre,primary school,Birmingham Primary School
3796,654860,sign,emergency marker,SYR207
3796,628498,education centre,secondary school,Yarra Hills Secondary College - Mount Evelyn Campus
3796,632332,education centre,primary school,St Marys School
3796,140986,education centre,primary school,Mount Evelyn Primary School
3796,140987,education centre,special school,Yarra Ranges Special Developmental School
3796,982501,place of worship,church,Mount Evelyn Christian Fellowship
3796,982502,place of worship,church,Mount Evelyn Christian Reformed Church
3796,982504,health facility,maternal/child health centre,Mount Evelyn Maternal And Child Health Centre
3796,140984,emergency facility,police station,Mount Evelyn Police Station
3796,650816,emergency facility,neighbourhood safer place,Mount Evelyn (Morrison Reserve) NSP
3796,982577,recreational resource,playground,
3796,993978,care facility,child care,Uych Childrens Centre Morrisons Campus
3796,702482,cultural centre,library,Mount Evelyn Library
3796,968457,sign,emergency marker,SYR115
3796,968460,sign,emergency marker,SYR118
3796,633141,community venue,hall,Mount Evelyn Memorial Hall
3796,982520,place of worship,church,St Marys Catholic Church
3796,982476,community venue,senior citizens,Golden Age Club
3796,842878,communication service,exchange,Mount Evelyn Telephone Exchange
3796,982483,place of worship,church,Kingdom Hall Of Jehovahs Witnesses
3796,982503,community venue,community centre,Mount Evelyn Community Link
3796,982505,place of worship,church,Mount Evelyn Presbyterian Church
3796,970473,residential building,retirement village,Unknown Birmingham Road
3796,840642,care facility,child care,Fernhill Preschool
3796,968463,sign,emergency marker,SYR121
3796,968464,sign,emergency marker,SYR122
3796,996401,emergency facility,emergency coordination centre,Mt Evelyn Local Command Facility
3796,841237,care facility,child care,Mt Evelyn Memorial Preschool
3796,840876,care facility,child care,Joy Avenue Kindergarten
3796,655802,emergency facility,fire station,Mt Evelyn Fire Station CFA
3796,841236,care facility,child care,Mt Evelyn Early Learning Centre
3796,993977,care facility,child care,Mount Evelyn Primary School Combined Oshc
3796,1019625,education centre,special school,Yarra Valley Community School - Uych Mt Evelyn Campus
3796,763432,education centre,secondary school,Yarra Hills Secondary College
3796,1018725,recreational resource,club house,Mount Evelyn Rsl
3788,842952,communication service,exchange,Olinda Telephone Exchange
3788,969637,admin facility,office,National Rhododendron Gardens (Pv)
3788,141642,emergency facility,police station,Olinda Police Station
3788,633035,community venue,hall,Olinda Hall
3788,63517,landmark,tower,
3788,141644,education centre,primary school,Olinda Primary School
3788,982326,storage facility,depot,
3788,982508,community venue,senior citizens,Olinda Sassafrass Senior Citizens Centre
3788,982328,place of worship,church,
3788,982507,community venue,community centre,Olinda Community House
3788,179528,admin facility,post office,Olinda Post Office
3788,969645,admin facility,office,Olinda (Pv)
3788,654240,sign,emergency marker,DRN204
3788,654256,sign,emergency marker,DRN512
3788,636706,landmark,lookout,Woolrich Lookout
3788,654255,sign,emergency marker,DRN511
3788,654237,sign,emergency marker,DRN201
3788,654238,sign,emergency marker,DRN202
3788,71802,recreational resource,picnic site,Olinda Falls Picnic Area
3788,655883,emergency facility,fire station,Olinda Fire Station CFA
3788,654254,sign,emergency marker,DRN510
3788,982325,landmark,lookout,Nib Nab Nob
3788,71805,sport facility,aquatic centre,Olinda Swimming Pool
3788,840810,care facility,child care,Hills Community Childcare
3927,969534,admin facility,office,Coolart (Pv)
3927,652428,recreational resource,club house,Somers Yacht Club
3927,983351,recreational resource,playground,
3927,983349,recreational resource,playground,
3927,987429,sign,emergency marker,SOM108
3927,987381,sign,emergency marker,SOM109
3927,987449,sign,emergency marker,SOM104
3927,987460,sign,emergency marker,SOM106
3927,656014,emergency facility,fire station,Somers Fire Station CFA
3927,654165,sign,emergency marker,COO500
3927,654170,sign,emergency marker,COO505
3927,841571,care facility,child care,Somers Preschool
3927,652442,commercial facility,shop,General Store
3927,652465,emergency facility,lifesaving club,Wsc Marine Rescue Facility
3927,983348,recreational resource,playground,
3927,987368,sign,emergency marker,SOM103
3927,987430,sign,emergency marker,SOM102
3927,987447,sign,emergency marker,SOM107
3927,987448,sign,emergency marker,SOM105
3927,987461,sign,emergency marker,SOM100
3927,765419,education centre,primary school,Somers School Camp - Somers Campus
3927,654166,sign,emergency marker,COO501
3927,654167,sign,emergency marker,COO502
3927,654171,sign,emergency marker,COO506
3927,763352,education centre,primary school,Somers School Camp
3927,654168,sign,emergency marker,COO503
3927,1014838,sign,emergency marker,SOM110
3927,987450,sign,emergency marker,SOM101
3927,993438,care facility,child care,Somers Primary School Oshc Program ? Bsc/Asc
3927,983352,recreational resource,playground,
3927,143111,education centre,primary school,Somers Primary School
3847,1676,control point,survey monument,
3847,58282,excavation site,adit,
